LineId	Label	Timestamp	Date	User	Month	Day	Time	Location	Component	PID	Content	EventId	EventTemplate
1	-	1131566461	2005.11.09	dn228	Nov	9	12:01:01	dn228/dn228	crond(pam_unix)	2915	session closed for user root	E117	session closed for user root
2	-	1131566461	2005.11.09	dn228	Nov	9	12:01:01	dn228/dn228	crond(pam_unix)	2915	session opened for user root by (uid=0)	E118	session opened for user root by (uid=0)
3	-	1131566461	2005.11.09	dn228	Nov	9	12:01:01	dn228/dn228	crond	2916	(root) CMD (run-parts /etc/cron.hourly)	E3	(root) CMD (run-parts /etc/cron.hourly)
4	-	1131566461	2005.11.09	dn261	Nov	9	12:01:01	dn261/dn261	crond(pam_unix)	2907	session closed for user root	E117	session closed for user root
5	-	1131566461	2005.11.09	dn261	Nov	9	12:01:01	dn261/dn261	crond(pam_unix)	2907	session opened for user root by (uid=0)	E118	session opened for user root by (uid=0)
6	-	1131566461	2005.11.09	dn261	Nov	9	12:01:01	dn261/dn261	crond	2908	(root) CMD (run-parts /etc/cron.hourly)	E3	(root) CMD (run-parts /etc/cron.hourly)
7	-	1131566461	2005.11.09	dn3	Nov	9	12:01:01	dn3/dn3	crond(pam_unix)	2907	session closed for user root	E117	session closed for user root
8	-	1131566461	2005.11.09	dn3	Nov	9	12:01:01	dn3/dn3	crond(pam_unix)	2907	session opened for user root by (uid=0)	E118	session opened for user root by (uid=0)
9	-	1131566461	2005.11.09	dn3	Nov	9	12:01:01	dn3/dn3	crond	2908	(root) CMD (run-parts /etc/cron.hourly)	E3	(root) CMD (run-parts /etc/cron.hourly)
10	-	1131566461	2005.11.09	dn596	Nov	9	12:01:01	dn596/dn596	crond(pam_unix)	2727	session closed for user root	E117	session closed for user root
11	-	1131566461	2005.11.09	dn596	Nov	9	12:01:01	dn596/dn596	crond(pam_unix)	2727	session opened for user root by (uid=0)	E118	session opened for user root by (uid=0)
12	-	1131566461	2005.11.09	dn596	Nov	9	12:01:01	dn596/dn596	crond	2728	(root) CMD (run-parts /etc/cron.hourly)	E3	(root) CMD (run-parts /etc/cron.hourly)
13	-	1131566461	2005.11.09	dn700	Nov	9	12:01:01	dn700/dn700	crond(pam_unix)	2912	session closed for user root	E117	session closed for user root
14	-	1131566461	2005.11.09	dn700	Nov	9	12:01:01	dn700/dn700	crond(pam_unix)	2912	session opened for user root by (uid=0)	E118	session opened for user root by (uid=0)
15	-	1131566461	2005.11.09	dn700	Nov	9	12:01:01	dn700/dn700	crond	2913	(root) CMD (run-parts /etc/cron.hourly)	E3	(root) CMD (run-parts /etc/cron.hourly)
